time_s,y_pos_m,z_pos_m,fz_force_sensor_N,fz_force_base_N,adaptive_phi,dynamic_sigma
3.3186,-0.3776,0.433981,-141.645,146.201,-9.6e-05,0.001
3.3657,-0.37775,0.869856,0.0,0.0,-4.6e-05,0.001
15.0011,-0.4892,0.863202,2597.855,1796.161,-0.1,0.001
15.0361,-0.48935,0.848649,2597.983,1796.678,-0.1,0.001
15.0725,-0.4895,0.834092,2598.11,1797.194,-0.1,0.001
15.0997,-0.48965,0.819531,2598.237,1797.711,-0.1,0.001
15.1323,-0.4898,0.804966,2598.363,1798.228,-0.1,0.001
15.1635,-0.48995,0.790396,2598.488,1798.745,-0.1,0.001
15.1935,-0.4901,0.775822,2598.613,1799.263,-0.1,0.001
15.2246,-0.49025,0.761244,2598.737,1799.78,-0.1,0.001
15.2556,-0.4904,0.746661,2598.86,1800.297,-0.1,0.001
15.2877,-0.49055,0.732075,2598.982,1800.816,-0.1,0.001
15.3197,-0.4907,0.717483,2599.104,1801.333,-0.1,0.001
15.3487,-0.49085,0.702888,2599.225,1801.852,-0.1,0.001
15.3833,-0.491,0.688289,2599.345,1802.37,-0.1,0.001
15.4137,-0.49115,0.673685,2599.464,1802.889,-0.1,0.001
15.4418,-0.4913,0.659077,2599.583,1803.408,-0.1,0.001
15.475,-0.49145,0.644464,2599.701,1803.927,-0.1,0.001
15.505,-0.4916,0.629847,2599.818,1804.447,-0.1,0.001
15.535,-0.49175,0.615226,2599.934,1804.966,-0.1,0.001
15.5664,-0.4919,0.600601,2600.05,1805.486,-0.1,0.001
15.5954,-0.49205,0.585971,2600.165,1806.006,-0.1,0.001
15.6292,-0.4922,0.571338,2600.279,1806.526,-0.1,0.001
15.6583,-0.49235,0.556699,2600.392,1807.047,-0.1,0.001
15.6888,-0.4925,0.542057,2600.505,1807.567,-0.1,0.001
15.7198,-0.49265,0.52741,2600.616,1808.088,-0.1,0.001
15.7498,-0.4928,0.512759,2600.727,1808.609,-0.1,0.001
15.7813,-0.49295,0.498104,2600.838,1809.13,-0.1,0.001
15.8113,-0.4931,0.483444,2600.947,1809.651,-0.1,0.001
15.8434,-0.49325,0.46878,2601.056,1810.173,-0.1,0.001
15.8751,-0.4934,0.454112,2601.164,1810.694,-0.1,0.001
15.9051,-0.49355,0.439439,2601.271,1811.216,-0.1,0.001
15.9421,-0.4937,0.424763,2601.377,1811.738,-0.1,0.001
15.975,-0.49385,0.410081,2601.483,1812.26,-0.1,0.001
16.019,-0.494,0.395396,2601.587,1812.782,-0.1,0.001
16.048,-0.49415,0.380706,2601.691,1813.305,-0.1,0.001
16.0811,-0.4943,0.366012,2601.794,1813.829,-0.1,0.001
16.1141,-0.49445,0.351314,2601.896,1814.352,-0.1,0.001
16.1467,-0.4946,0.336611,2601.998,1814.873,-0.1,0.001
16.1782,-0.49475,0.321904,2602.099,1815.396,-0.1,0.001
16.2072,-0.4949,0.307193,2602.199,1815.92,-0.1,0.001
16.2382,-0.49505,0.292477,2602.298,1816.444,-0.1,0.001
16.2695,-0.4952,0.277757,2602.396,1816.968,-0.1,0.001
16.2987,-0.49535,0.263033,2602.494,1817.49,-0.1,0.001
16.3307,-0.4955,0.248304,2602.591,1818.014,-0.1,0.001
